_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,356500,103 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--7751795,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,99000,67 m²,5 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6755243,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,189000,53 m²,50 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6712066,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,138000,62 m²,30 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6528754,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,483000,73 m²,2 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--7408751,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,260000,80 m²,35 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--7526191,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,328000,101 m²,35 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-5-ambientes--7397290,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,185000,52 m²,50 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7317711,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,2,USD,180000,110 m²,50 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--6138103,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,199000,46 m²,8 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6226595,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,1585000,298 m²,4 años,Frente,4,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6676996,"Departamento en Venta en Olivos Vias/Rio, Olivos"
