_a_title,_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,108000,32 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-1-ambiente--7838149
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,320000,52 m²,4 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--5478401
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,,USD,73000,26 m²,Apto Profesional,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-1-ambiente--7363110
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,1,USD,175000,66 m²,A Estrenar,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-2-ambientes--7828382
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,3,USD,213750,75 m²,50 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-4-ambientes--6373968
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,268000,59 m²,10 años,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6093089
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,345000,98 m²,5 años,Contrafrente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--6777343
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,375000,115 m²,30 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6513910
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,,USD,110000,32 m²,30 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-1-ambiente--6107066
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,98000,29 m²,35 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6509010
