_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Panamericana,2,USD,140000,120 m²,A Estrenar,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-panamericana-3-ambientes--7111247,"Casa en Venta en San Fernando Vias  /  Panamericana, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,3,USD,340000,120 m²,A estrenar,2,,https://www.argenprop.com/casa-en-venta-en-punta-chica-4-ambientes--6509642,"Casa en Venta en Punta Chica, San Fernando"
Galpon,Venta,Buenos Aires,San Fernando,San Fernando,,,USD,0,220 m²,,,,https://www.argenprop.com/galpon-en-venta-en-san-fernando--6177990,"Galpón en Venta en San Fernando, Buenos Aires"
Galpon,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,,USD,390000,400 m²,,,,https://www.argenprop.com/galpon-en-venta-en-san-fernando-vias-libertador-a-rio--6220194,"Galpón en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,1,USD,135000,50 m²,5 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-libertador-a-rio-2-ambientes--7109262,"Departamento en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,,USD,180000,160 m²,A Estrenar,,,https://www.argenprop.com/casa-en-venta-en-victoria--7655870,"Casa en Venta en Victoria, San Fernando"
Galpon,Venta,Buenos Aires,San Fernando,Virreyes,Virreyes Oeste,,USD,350000,410 m²,,,,https://www.argenprop.com/galpon-en-venta-en-virreyes-oeste--7110844,"Galpón en Venta en Virreyes Oeste, Virreyes"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,4,USD,430000,200 m²,30 años,3,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-6-ambientes--6556128,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Local,Venta,Buenos Aires,San Fernando,San Fernando,,,USD,470000,Via Pública,1,400 m2,Sanitarios,https://www.argenprop.com/local-en-venta-en-san-fernando--7699114,"Local en Venta en San Fernando, Buenos Aires"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,,,$,70000,36 m2,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando--7618507,"Local en Alquiler en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,220000,65 m²,2 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-victoria-3-ambientes--7622956,"Departamento en Venta en Victoria, San Fernando"
Galpon,Venta,Buenos Aires,San Fernando,San Fernando,,,USD,700000,750 m²,,,,https://www.argenprop.com/galpon-en-venta-en-san-fernando--7607059,"Galpón en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Victoria,Victoria Barrio Centro,2,USD,175000,100 m²,30 años,1,,https://www.argenprop.com/casa-en-venta-en-victoria-barrio-centro-3-ambientes--6515300,"Casa en Venta en Victoria Barrio Centro, Victoria"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,4,USD,380000,322 m²,,,,https://www.argenprop.com/casa-en-venta-en-san-fernando-5-ambientes--7377993,"Casa en Venta en San Fernando, Buenos Aires"
Ph,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,145000,75 m²,10 años,Excelente,2,https://www.argenprop.com/ph-en-venta-en-san-fernando-3-ambientes--7618146,"Ph en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Rincon Del Arca,3,USD,850000,511 m²,10 años,5,Con dependencia,https://www.argenprop.com/casa-en-venta-en-rincon-del-arca-4-ambientes--6636248,"Casa en Venta en Rincon Del Arca, Countries y Barrios Cerrados San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,,USD,80000,Monoambiente,,,,https://www.argenprop.com/departamento-en-venta-en-victoria-1-ambiente--7375800,"Departamento en Venta en Victoria, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Virreyes,Virreyes Estacion,2,USD,120000,80 m²,A Estrenar,2,,https://www.argenprop.com/casa-en-venta-en-virreyes-estacion-4-ambientes--7580265,"Casa en Venta en Virreyes Estacion, Virreyes"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,130000,61 m²,3 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--6458057,"Departamento en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,2,USD,325000,117 m²,3 años,1,,https://www.argenprop.com/casa-en-venta-en-punta-chica-4-ambientes--6236496,"Casa en Venta en Punta Chica, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Virreyes,,4,USD,230000,190 m²,50 años,2,Con dependencia,https://www.argenprop.com/casa-en-venta-en-virreyes-5-ambientes--6654914,"Casa en Venta en Virreyes, San Fernando"
Departamento,Alquiler,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Bahia Del Sol,3,$,70000,124 m²,20 años,Contrafrente,3,https://www.argenprop.com/departamento-en-alquiler-en-bahia-del-sol-4-ambientes--7827138,"Departamento en Alquiler en Bahia Del Sol, Countries y Barrios Cerrados San Fernando"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,Punta Chica,2,$,40000,2,Contrafrente,2,,https://www.argenprop.com/departamento-en-alquiler-en-punta-chica-3-ambientes--7658128,"Departamento en Alquiler en Punta Chica, San Fernando"
Local,Venta,Buenos Aires,San Fernando,San Fernando,,,USD,1250000,Via Pública,1,210 m2,,https://www.argenprop.com/local-en-venta-en-san-fernando--6276547,"Local en Venta en San Fernando, Buenos Aires"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,,,$,17000,50 m²,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando--6596583,"Local en Alquiler en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Rincon Del Arca,4,USD,590000,250 m²,15 años,4,,https://www.argenprop.com/casa-en-venta-en-rincon-del-arca-5-ambientes--7399504,"Casa en Venta en Rincon Del Arca, Countries y Barrios Cerrados San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,USD,180000,90 m²,A Estrenar,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-3-ambientes--6750432,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,4,USD,495000,250 m²,3,,,https://www.argenprop.com/casa-en-venta-en-punta-chica-5-ambientes--7341492,"Casa en Venta en Punta Chica, San Fernando"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,24000,42 m2,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-centro--7771490,"Local en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,130000,87 m²,40 años,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-3-ambientes--5623971,"Departamento en Venta en San Fernando, Buenos Aires"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,7000,1,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-centro--7121193,"Local en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,400000,148 m²,8 años,2,,https://www.argenprop.com/casa-en-venta-en-victoria-4-ambientes--6735125,"Casa en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,1,USD,82000,40 m²,40 años,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-libertador-a-rio-2-ambientes--6778470,"Departamento en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,USD,190000,125 m²,30 años,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-3-ambientes--7628970,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,,USD,370000,150 m²,,,,https://www.argenprop.com/casa-en-venta-en-victoria--7302599,"Casa en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,Victoria Barrio Centro,1,USD,120000,48 m²,20 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-victoria-barrio-centro-2-ambientes--7757185,"Departamento en Venta en Victoria Barrio Centro, Victoria"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,3,$,25000,100 m²,A Estrenar,2,,https://www.argenprop.com/departamento-en-alquiler-en-san-fernando-vias-centro-4-ambientes--7823563,"Departamento en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,72000,71 m²,1,,,https://www.argenprop.com/casa-en-venta-en-san-fernando-3-ambientes--7348313,"Casa en Venta en San Fernando, Buenos Aires"
Departamento,Alquiler,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Bahia Del Sol,3,USD,1200,120 m²,A Estrenar,Contrafrente,2,https://www.argenprop.com/departamento-en-alquiler-en-bahia-del-sol-4-ambientes--7757187,"Departamento en Alquiler en Bahia Del Sol, Countries y Barrios Cerrados San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,5,USD,220000,150 m²,3,Con dependencia,,https://www.argenprop.com/casa-en-venta-en-victoria-6-ambientes--7814933,"Casa en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,83000,40 m²,40 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--7775983,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,$,26000,48 m²,30 años,Interno,1,https://www.argenprop.com/departamento-en-alquiler-en-san-fernando-vias-centro-2-ambientes--7627183,"Departamento en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,5,USD,420000,300 m²,4,Con dependencia,,https://www.argenprop.com/casa-en-venta-en-san-fernando-6-ambientes--7510022,"Casa en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,3,USD,142000,119 m²,40 años,1,,https://www.argenprop.com/casa-en-venta-en-san-fernando-5-ambientes--6235045,"Casa en Venta en San Fernando, Buenos Aires"
Ph,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,155000,70 m²,Con terraza,50 años,1,https://www.argenprop.com/ph-en-venta-en-victoria-3-ambientes--6115533,"Ph en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,1,USD,118000,40 m²,25 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-libertador-a-rio-2-ambientes--6532665,"Departamento en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,244200,"54,50 m²",2,,,https://www.argenprop.com/departamento-en-venta-en-victoria--5394522,"Departamento en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,175000,53 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-victoria-2-ambientes--7824482,"Departamento en Venta en Victoria, San Fernando"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,,1,$,27000,40 m²,7 años,Lateral,1,https://www.argenprop.com/departamento-en-alquiler-en-san-fernando-2-ambientes--7895862,"Departamento en Alquiler en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,4,USD,430000,250 m²,15 años,2,,https://www.argenprop.com/casa-en-venta-en-punta-chica-5-ambientes--5497008,"Casa en Venta en Punta Chica, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,3,USD,258000,140 m²,3 años,3,,https://www.argenprop.com/casa-en-venta-en-san-fernando-4-ambientes--7357696,"Casa en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,1,USD,212000,"76,69 m²",1 año,Frente,2,https://www.argenprop.com/departamento-en-venta-en-punta-chica-2-ambientes--6411533,"Departamento en Venta en Punta Chica, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,3,USD,90000,76 m²,Lateral,,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-4-ambientes--5181811,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,70000,46 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--7612190,"Departamento en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,3,USD,420000,270 m²,3,,,https://www.argenprop.com/casa-en-venta-en-victoria-4-ambientes--5314405,"Casa en Venta en Victoria, San Fernando"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,29000,28 m²,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-centro--6055595,"Local en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,140000,60 m²,2,,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--6481217,"Departamento en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,La Chacra,4,USD,398000,214 m²,18 años,2,Con dependencia,https://www.argenprop.com/casa-en-venta-en-la-chacra-6-ambientes--5906960,"Casa en Venta en La Chacra, Countries y Barrios Cerrados San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,6,USD,310000,242 m²,5 años,3,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-7-ambientes--7577340,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,3,USD,230000,200 m²,40 años,1,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-libertador-a-rio-4-ambientes--6771995,"Casa en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,130000,120 m²,20 años,1,,https://www.argenprop.com/casa-en-venta-en-san-fernando-3-ambientes--6250376,"Casa en Venta en San Fernando, Buenos Aires"
Galpon,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,150000,980 m²,,,,https://www.argenprop.com/galpon-en-alquiler-en-san-fernando-vias-centro--7657975,"Galpón en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,USD,125000,160 m²,A estrenar,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-3-ambientes--6664768,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Galpon,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,USD,220000,230 m²,,,,https://www.argenprop.com/galpon-en-venta-en-san-fernando-vias-centro--6519440,"Galpón en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,5,USD,90000,170 m²,30 años,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-6-ambientes--5478288,"Casa en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,USD,90000,36 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-2-ambientes--7757191,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,235000,180 m²,A Estrenar,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-3-ambientes--5566357,"Casa en Venta en San Fernando, Buenos Aires"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador,,$,18000,,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-libertador--7378705,"Local en Alquiler en San Fernando Vias  /  Libertador, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,Victoria Barrio Centro,1,USD,130000,45 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-victoria-barrio-centro-2-ambientes--7086579,"Departamento en Venta en Victoria Barrio Centro, Victoria"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,25000,96 m2,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-centro--7268442,"Local en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,110000,1,1,,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--7606625,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,118000,58 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-victoria-3-ambientes--7937575,"Departamento en Venta en Victoria, San Fernando"
Ph,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,1,USD,180000,64 m²,49 años,1,,https://www.argenprop.com/ph-en-venta-en-punta-chica-2-ambientes--7591546,"Ph en Venta en Punta Chica, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,145000,54 m²,Contrafrente,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando--7045202,"Departamento en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,175000,125 m²,60 años,1,,https://www.argenprop.com/casa-en-venta-en-victoria-3-ambientes--6218139,"Casa en Venta en Victoria, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Las Victorias,5,USD,855000,500 m²,A Estrenar,5,Con dependencia,https://www.argenprop.com/casa-en-venta-en-las-victorias-7-ambientes--7875739,"Casa en Venta en Las Victorias, Countries y Barrios Cerrados San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador a Rio,5,USD,430000,450 m²,40 años,3,Con dependencia,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-libertador-a-rio-8-ambientes--7757158,"Casa en Venta en San Fernando Vias  /  Libertador a Rio, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,USD,122936,55 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-2-ambientes--7801073,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,USD,122584,55 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-2-ambientes--7801074,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador,2,USD,150000,65 m²,40 años,1,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-libertador-3-ambientes--7757186,"Casa en Venta en San Fernando Vias  /  Libertador, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador,3,USD,140000,70 m²,45 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-libertador-4-ambientes--7757183,"Departamento en Venta en San Fernando Vias  /  Libertador, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,168850,71 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-3-ambientes--7801069,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,USD,124410,56 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-2-ambientes--7801095,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,1,USD,116754,50 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-2-ambientes--7801076,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
